social_id,customer_id,preferred_social_media_platform,cricket_reels_watched_per_week,sports_content_likes_per_week,sports_content_shares_per_week,favorite_cricket_content_type,influencer_engagement_level,fantasy_cricket_content_interaction,average_daily_social_media_usage_hours,preferred_content_format,sports_brand_follow_count,social_media_ad_click_rate
SOC000662,CUST0662,YouTube,26,45,11,Tutorials,Medium,Yes,4.2,Long Video,10,0.12
SOC000663,CUST0663,Instagram,61,133,42,Memes,High,Yes,8.1,Short Video,31,0.30
SOC000664,CUST0664,Facebook,10,17,3,Player Interviews,Low,No,2.1,Image Post,4,0.04
SOC000665,CUST0665,Instagram,55,119,37,Short Reels,High,Yes,7.3,Short Video,27,0.29
SOC000666,CUST0666,Twitter,19,30,7,Match Analysis,Medium,Yes,3.6,Carousel Post,8,0.10
SOC000667,CUST0667,Instagram,43,91,27,Memes,High,Yes,5.9,Short Video,20,0.23
SOC000668,CUST0668,YouTube,24,40,9,Tutorials,Medium,No,3.9,Long Video,9,0.10
SOC000669,CUST0669,Instagram,58,127,40,Short Reels,High,Yes,7.7,Short Video,30,0.30
SOC000670,CUST0670,Facebook,8,14,2,Player Interviews,Low,No,1.8,Image Post,3,0.03
SOC000671,CUST0671,Instagram,49,105,32,Memes,High,Yes,6.8,Short Video,24,0.27
SOC000672,CUST0672,YouTube,28,49,12,Match Analysis,Medium,Yes,4.5,Long Video,12,0.14
SOC000673,CUST0673,Instagram,63,137,44,Short Reels,High,Yes,8.3,Short Video,33,0.30
SOC000674,CUST0674,Twitter,14,23,5,Match Highlights,Low,No,2.8,Carousel Post,5,0.07
SOC000675,CUST0675,Instagram,54,117,36,Memes,High,Yes,7.2,Short Video,27,0.29
SOC000676,CUST0676,YouTube,30,51,14,Match Analysis,High,Yes,4.9,Long Video,14,0.15
SOC000677,CUST0677,Instagram,41,86,24,Short Reels,Medium,Yes,5.5,Short Video,18,0.22
SOC000678,CUST0678,Facebook,12,20,4,Player Interviews,Low,No,2.4,Image Post,5,0.05
SOC000679,CUST0679,Instagram,57,123,39,Memes,High,Yes,7.6,Short Video,29,0.30
SOC000680,CUST0680,Twitter,16,26,6,Match Highlights,Medium,No,3.3,Carousel Post,6,0.08
SOC000681,CUST0681,Instagram,46,97,29,Short Reels,High,Yes,6.3,Short Video,21,0.25
SOC000682,CUST0682,YouTube,27,47,11,Tutorials,Medium,Yes,4.3,Long Video,11,0.13
SOC000683,CUST0683,Instagram,60,129,41,Memes,High,Yes,7.9,Short Video,31,0.30
SOC000684,CUST0684,Facebook,11,18,3,Player Interviews,Low,No,2.2,Image Post,4,0.04
SOC000685,CUST0685,Instagram,55,121,37,Short Reels,High,Yes,7.3,Short Video,28,0.29
SOC000686,CUST0686,Twitter,18,29,7,Match Analysis,Medium,Yes,3.5,Carousel Post,7,0.09
SOC000687,CUST0687,Instagram,44,93,28,Memes,High,Yes,6.0,Short Video,20,0.24
SOC000688,CUST0688,YouTube,25,42,10,Tutorials,Medium,No,4.0,Long Video,10,0.11
SOC000689,CUST0689,Instagram,59,127,40,Short Reels,High,Yes,7.8,Short Video,30,0.30
SOC000690,CUST0690,Facebook,9,15,2,Player Interviews,Low,No,1.9,Image Post,3,0.03
SOC000691,CUST0691,Instagram,50,107,33,Memes,High,Yes,6.9,Short Video,24,0.27
SOC000692,CUST0692,YouTube,29,49,13,Match Analysis,High,Yes,4.7,Long Video,13,0.15
SOC000693,CUST0693,Instagram,62,135,43,Short Reels,High,Yes,8.2,Short Video,32,0.30
SOC000694,CUST0694,Twitter,15,24,5,Match Highlights,Low,No,3.0,Carousel Post,6,0.08
SOC000695,CUST0695,Instagram,53,115,35,Memes,High,Yes,7.1,Short Video,26,0.28
SOC000696,CUST0696,YouTube,31,54,14,Match Analysis,High,Yes,5.0,Long Video,14,0.15
SOC000697,CUST0697,Instagram,42,87,25,Short Reels,Medium,Yes,5.7,Short Video,19,0.22
SOC000698,CUST0698,Facebook,13,22,4,Player Interviews,Low,No,2.6,Image Post,5,0.05
SOC000699,CUST0699,Instagram,56,121,38,Memes,High,Yes,7.5,Short Video,28,0.29
SOC000700,CUST0700,Twitter,17,27,6,Match Highlights,Medium,No,3.4,Carousel Post,7,0.09
SOC000701,CUST0701,Instagram,47,98,30,Short Reels,High,Yes,6.4,Short Video,22,0.26
SOC000702,CUST0702,YouTube,26,44,11,Match Analysis,Medium,No,4.2,Long Video,10,0.12
SOC000703,CUST0703,Instagram,61,132,42,Memes,High,Yes,8.0,Short Video,31,0.30
SOC000704,CUST0704,Facebook,10,17,3,Player Interviews,Low,No,2.1,Image Post,4,0.04
SOC000705,CUST0705,Instagram,56,121,38,Short Reels,High,Yes,7.4,Short Video,28,0.29
SOC000706,CUST0706,Twitter,19,31,7,Match Highlights,Medium,No,3.6,Carousel Post,8,0.09
SOC000707,CUST0707,Instagram,43,90,27,Memes,High,Yes,5.9,Short Video,20,0.23
SOC000708,CUST0708,YouTube,24,39,9,Tutorials,Medium,No,3.9,Long Video,9,0.10
SOC000709,CUST0709,Instagram,58,126,40,Short Reels,High,Yes,7.7,Short Video,29,0.30
SOC000710,CUST0710,Facebook,8,14,2,Player Interviews,Low,No,1.8,Image Post,3,0.03
SOC000711,CUST0711,Instagram,49,104,32,Memes,High,Yes,6.8,Short Video,24,0.27
SOC000712,CUST0712,YouTube,28,48,12,Match Analysis,Medium,Yes,4.5,Long Video,12,0.14
SOC000713,CUST0713,Instagram,63,136,44,Short Reels,High,Yes,8.3,Short Video,33,0.30
SOC000714,CUST0714,Twitter,14,23,5,Match Highlights,Low,No,2.8,Carousel Post,5,0.07
SOC000715,CUST0715,Instagram,54,118,36,Memes,High,Yes,7.2,Short Video,27,0.29
SOC000716,CUST0716,YouTube,30,52,14,Match Analysis,High,Yes,4.9,Long Video,14,0.15
SOC000717,CUST0717,Instagram,41,85,24,Short Reels,Medium,Yes,5.5,Short Video,18,0.22
SOC000718,CUST0718,Facebook,12,20,4,Player Interviews,Low,No,2.4,Image Post,5,0.05
SOC000719,CUST0719,Instagram,57,124,39,Memes,High,Yes,7.6,Short Video,29,0.30
SOC000720,CUST0720,Twitter,16,26,6,Match Highlights,Medium,No,3.3,Carousel Post,6,0.08
SOC000721,CUST0721,Instagram,46,96,29,Short Reels,High,Yes,6.3,Short Video,21,0.25
SOC000722,CUST0722,YouTube,27,46,11,Tutorials,Medium,Yes,4.3,Long Video,11,0.13
SOC000723,CUST0723,Instagram,60,130,41,Memes,High,Yes,7.9,Short Video,31,0.30
SOC000724,CUST0724,Facebook,11,18,3,Player Interviews,Low,No,2.2,Image Post,4,0.04
SOC000725,CUST0725,Instagram,55,120,37,Short Reels,High,Yes,7.3,Short Video,27,0.29
SOC000726,CUST0726,Twitter,18,29,7,Match Analysis,Medium,Yes,3.5,Carousel Post,7,0.09
SOC000727,CUST0727,Instagram,44,92,28,Memes,High,Yes,6.0,Short Video,20,0.24
SOC000728,CUST0728,YouTube,25,41,10,Tutorials,Medium,No,4.0,Long Video,10,0.11
SOC000729,CUST0729,Instagram,59,128,40,Short Reels,High,Yes,7.8,Short Video,30,0.30
SOC000730,CUST0730,Facebook,9,15,2,Player Interviews,Low,No,1.9,Image Post,3,0.03
SOC000731,CUST0731,Instagram,50,106,33,Memes,High,Yes,6.9,Short Video,24,0.27
SOC000732,CUST0732,YouTube,29,50,13,Match Analysis,High,Yes,4.7,Long Video,13,0.15
SOC000733,CUST0733,Instagram,62,134,43,Short Reels,High,Yes,8.2,Short Video,32,0.30
SOC000734,CUST0734,Twitter,15,24,5,Match Highlights,Low,No,3.0,Carousel Post,6,0.08
SOC000735,CUST0735,Instagram,53,116,35,Memes,High,Yes,7.1,Short Video,26,0.28
SOC000736,CUST0736,YouTube,31,53,14,Match Analysis,High,Yes,5.0,Long Video,14,0.15
SOC000737,CUST0737,Instagram,42,88,25,Short Reels,Medium,Yes,5.7,Short Video,19,0.22
SOC000738,CUST0738,Facebook,13,22,4,Player Interviews,Low,No,2.6,Image Post,5,0.05
SOC000739,CUST0739,Instagram,56,122,38,Memes,High,Yes,7.5,Short Video,28,0.29
SOC000740,CUST0740,Twitter,17,28,6,Match Highlights,Medium,No,3.4,Carousel Post,7,0.09
SOC000741,CUST0741,Instagram,47,99,30,Short Reels,High,Yes,6.5,Short Video,22,0.26
SOC000742,CUST0742,YouTube,26,45,11,Tutorials,Medium,Yes,4.2,Long Video,10,0.12
SOC000743,CUST0743,Instagram,61,133,42,Memes,High,Yes,8.1,Short Video,31,0.30
SOC000744,CUST0744,Facebook,10,17,3,Player Interviews,Low,No,2.1,Image Post,4,0.04
SOC000745,CUST0745,Instagram,55,119,37,Short Reels,High,Yes,7.3,Short Video,27,0.29
SOC000746,CUST0746,Twitter,19,30,7,Match Analysis,Medium,Yes,3.6,Carousel Post,8,0.10
SOC000747,CUST0747,Instagram,43,91,27,Memes,High,Yes,5.9,Short Video,20,0.23
SOC000748,CUST0748,YouTube,24,40,9,Tutorials,Medium,No,3.9,Long Video,9,0.10
SOC000749,CUST0749,Instagram,58,127,40,Short Reels,High,Yes,7.7,Short Video,30,0.30
SOC000750,CUST0750,Facebook,8,14,2,Player Interviews,Low,No,1.8,Image Post,3,0.03
SOC000751,CUST0751,Instagram,49,105,32,Memes,High,Yes,6.8,Short Video,24,0.27
SOC000752,CUST0752,YouTube,28,49,12,Match Analysis,Medium,Yes,4.5,Long Video,12,0.14
SOC000753,CUST0753,Instagram,63,137,44,Short Reels,High,Yes,8.3,Short Video,33,0.30
SOC000754,CUST0754,Twitter,14,23,5,Match Highlights,Low,No,2.8,Carousel Post,5,0.07
SOC000755,CUST0755,Instagram,54,117,36,Memes,High,Yes,7.2,Short Video,27,0.29
SOC000756,CUST0756,YouTube,30,51,14,Match Analysis,High,Yes,4.9,Long Video,14,0.15
SOC000757,CUST0757,Instagram,41,86,24,Short Reels,Medium,Yes,5.5,Short Video,18,0.22
SOC000758,CUST0758,Facebook,12,20,4,Player Interviews,Low,No,2.4,Image Post,5,0.05
SOC000759,CUST0759,Instagram,57,123,39,Memes,High,Yes,7.6,Short Video,29,0.30
SOC000760,CUST0760,Twitter,16,26,6,Match Highlights,Medium,No,3.3,Carousel Post,6,0.08
SOC000761,CUST0761,Instagram,46,97,29,Short Reels,High,Yes,6.3,Short Video,21,0.25
SOC000762,CUST0762,YouTube,27,47,11,Tutorials,Medium,Yes,4.3,Long Video,11,0.13
SOC000763,CUST0763,Instagram,60,129,41,Memes,High,Yes,7.9,Short Video,31,0.30
SOC000764,CUST0764,Facebook,11,18,3,Player Interviews,Low,No,2.2,Image Post,4,0.04
SOC000765,CUST0765,Instagram,55,121,37,Short Reels,High,Yes,7.3,Short Video,28,0.29
SOC000766,CUST0766,Twitter,18,29,7,Match Analysis,Medium,Yes,3.5,Carousel Post,7,0.09
SOC000767,CUST0767,Instagram,44,93,28,Memes,High,Yes,6.0,Short Video,20,0.24
SOC000768,CUST0768,YouTube,25,42,10,Tutorials,Medium,No,4.0,Long Video,10,0.11
SOC000769,CUST0769,Instagram,59,127,40,Short Reels,High,Yes,7.8,Short Video,30,0.30
SOC000770,CUST0770,Facebook,9,15,2,Player Interviews,Low,No,1.9,Image Post,3,0.03
SOC000771,CUST0771,Instagram,50,107,33,Memes,High,Yes,6.9,Short Video,24,0.27
SOC000772,CUST0772,YouTube,29,49,13,Match Analysis,High,Yes,4.7,Long Video,13,0.15
SOC000773,CUST0773,Instagram,62,135,43,Short Reels,High,Yes,8.2,Short Video,32,0.30
SOC000774,CUST0774,Twitter,15,24,5,Match Highlights,Low,No,3.0,Carousel Post,6,0.08
SOC000775,CUST0775,Instagram,53,115,35,Memes,High,Yes,7.1,Short Video,26,0.28
SOC000776,CUST0776,YouTube,31,54,14,Match Analysis,High,Yes,5.0,Long Video,14,0.15
SOC000777,CUST0777,Instagram,42,87,25,Short Reels,Medium,Yes,5.7,Short Video,19,0.22
SOC000778,CUST0778,Facebook,13,22,4,Player Interviews,Low,No,2.6,Image Post,5,0.05
SOC000779,CUST0779,Instagram,56,121,38,Memes,High,Yes,7.5,Short Video,28,0.29
SOC000780,CUST0780,Twitter,17,27,6,Match Highlights,Medium,No,3.4,Carousel Post,7,0.09
SOC000781,CUST0781,Instagram,47,98,30,Short Reels,High,Yes,6.4,Short Video,22,0.26
SOC000782,CUST0782,YouTube,26,44,11,Match Analysis,Medium,No,4.2,Long Video,10,0.12
SOC000783,CUST0783,Instagram,61,132,42,Memes,High,Yes,8.0,Short Video,31,0.30
SOC000784,CUST0784,Facebook,10,17,3,Player Interviews,Low,No,2.1,Image Post,4,0.04
SOC000785,CUST0785,Instagram,56,121,38,Short Reels,High,Yes,7.4,Short Video,28,0.29
SOC000786,CUST0786,Twitter,19,31,7,Match Highlights,Medium,No,3.6,Carousel Post,8,0.09
SOC000787,CUST0787,Instagram,43,90,27,Memes,High,Yes,5.9,Short Video,20,0.23
SOC000788,CUST0788,YouTube,24,39,9,Tutorials,Medium,No,3.9,Long Video,9,0.10
SOC000789,CUST0789,Instagram,58,126,40,Short Reels,High,Yes,7.7,Short Video,29,0.30
SOC000790,CUST0790,Facebook,8,14,2,Player Interviews,Low,No,1.8,Image Post,3,0.03
SOC000791,CUST0791,Instagram,49,104,32,Memes,High,Yes,6.8,Short Video,24,0.27
SOC000792,CUST0792,YouTube,28,48,12,Match Analysis,Medium,Yes,4.5,Long Video,12,0.14
SOC000793,CUST0793,Instagram,63,136,44,Short Reels,High,Yes,8.3,Short Video,33,0.30
SOC000794,CUST0794,Twitter,14,23,5,Match Highlights,Low,No,2.8,Carousel Post,5,0.07
SOC000795,CUST0795,Instagram,54,118,36,Memes,High,Yes,7.2,Short Video,27,0.29
SOC000796,CUST0796,YouTube,30,52,14,Match Analysis,High,Yes,4.9,Long Video,14,0.15
SOC000797,CUST0797,Instagram,41,85,24,Short Reels,Medium,Yes,5.5,Short Video,18,0.22
SOC000798,CUST0798,Facebook,12,20,4,Player Interviews,Low,No,2.4,Image Post,5,0.05
SOC000799,CUST0799,Instagram,57,124,39,Memes,High,Yes,7.6,Short Video,29,0.30
SOC000800,CUST0800,Twitter,16,26,6,Match Highlights,Medium,No,3.3,Carousel Post,6,0.08
SOC000801,CUST0801,Instagram,46,96,29,Short Reels,High,Yes,6.3,Short Video,21,0.25
SOC000802,CUST0802,YouTube,27,46,11,Tutorials,Medium,Yes,4.3,Long Video,11,0.13
SOC000803,CUST0803,Instagram,60,130,41,Memes,High,Yes,7.9,Short Video,31,0.30
SOC000804,CUST0804,Facebook,11,18,3,Player Interviews,Low,No,2.2,Image Post,4,0.04
SOC000805,CUST0805,Instagram,55,120,37,Short Reels,High,Yes,7.3,Short Video,27,0.29
SOC000806,CUST0806,Twitter,18,29,7,Match Analysis,Medium,Yes,3.5,Carousel Post,7,0.09
SOC000807,CUST0807,Instagram,44,92,28,Memes,High,Yes,6.0,Short Video,20,0.24
SOC000808,CUST0808,YouTube,25,41,10,Tutorials,Medium,No,4.0,Long Video,10,0.11
SOC000809,CUST0809,Instagram,59,128,40,Short Reels,High,Yes,7.8,Short Video,30,0.30
SOC000810,CUST0810,Facebook,9,15,2,Player Interviews,Low,No,1.9,Image Post,3,0.03
SOC000811,CUST0811,Instagram,50,106,33,Memes,High,Yes,6.9,Short Video,24,0.27
SOC000812,CUST0812,YouTube,29,50,13,Match Analysis,High,Yes,4.7,Long Video,13,0.15
SOC000813,CUST0813,Instagram,62,134,43,Short Reels,High,Yes,8.2,Short Video,32,0.30
SOC000814,CUST0814,Twitter,15,24,5,Match Highlights,Low,No,3.0,Carousel Post,6,0.08
SOC000815,CUST0815,Instagram,53,116,35,Memes,High,Yes,7.1,Short Video,26,0.28
SOC000816,CUST0816,YouTube,31,53,14,Match Analysis,High,Yes,5.0,Long Video,14,0.15
SOC000817,CUST0817,Instagram,42,88,25,Short Reels,Medium,Yes,5.7,Short Video,19,0.22
SOC000818,CUST0818,Facebook,13,22,4,Player Interviews,Low,No,2.6,Image Post,5,0.05
SOC000819,CUST0819,Instagram,56,122,38,Memes,High,Yes,7.5,Short Video,28,0.29
SOC000820,CUST0820,Twitter,17,28,6,Match Highlights,Medium,No,3.4,Carousel Post,7,0.09
SOC000821,CUST0821,Instagram,47,99,30,Short Reels,High,Yes,6.5,Short Video,22,0.26
SOC000822,CUST0822,YouTube,26,45,11,Tutorials,Medium,Yes,4.2,Long Video,10,0.12
SOC000823,CUST0823,Instagram,61,133,42,Memes,High,Yes,8.1,Short Video,31,0.30
SOC000824,CUST0824,Facebook,10,17,3,Player Interviews,Low,No,2.1,Image Post,4,0.04
SOC000825,CUST0825,Instagram,55,119,37,Short Reels,High,Yes,7.3,Short Video,27,0.29
SOC000826,CUST0826,Twitter,19,30,7,Match Analysis,Medium,Yes,3.6,Carousel Post,8,0.10
SOC000827,CUST0827,Instagram,43,91,27,Memes,High,Yes,5.9,Short Video,20,0.23
SOC000828,CUST0828,YouTube,24,40,9,Tutorials,Medium,No,3.9,Long Video,9,0.10
SOC000829,CUST0829,Instagram,58,127,40,Short Reels,High,Yes,7.7,Short Video,30,0.30
SOC000830,CUST0830,Facebook,8,14,2,Player Interviews,Low,No,1.8,Image Post,3,0.03
SOC000831,CUST0831,Instagram,49,105,32,Memes,High,Yes,6.8,Short Video,24,0.27
SOC000832,CUST0832,YouTube,28,49,12,Match Analysis,Medium,Yes,4.5,Long Video,12,0.14
SOC000833,CUST0833,Instagram,63,137,44,Short Reels,High,Yes,8.3,Short Video,33,0.30
SOC000834,CUST0834,Twitter,14,23,5,Match Highlights,Low,No,2.8,Carousel Post,5,0.07
SOC000835,CUST0835,Instagram,54,117,36,Memes,High,Yes,7.2,Short Video,27,0.29
SOC000836,CUST0836,YouTube,30,51,14,Match Analysis,High,Yes,4.9,Long Video,14,0.15
SOC000837,CUST0837,Instagram,41,86,24,Short Reels,Medium,Yes,5.5,Short Video,18,0.22
SOC000838,CUST0838,Facebook,12,20,4,Player Interviews,Low,No,2.4,Image Post,5,0.05
SOC000839,CUST0839,Instagram,57,123,39,Memes,High,Yes,7.6,Short Video,29,0.30
SOC000840,CUST0840,Twitter,16,26,6,Match Highlights,Medium,No,3.3,Carousel Post,6,0.08
SOC000841,CUST0841,Instagram,46,97,29,Short Reels,High,Yes,6.3,Short Video,21,0.25
SOC000842,CUST0842,YouTube,27,47,11,Tutorials,Medium,Yes,4.3,Long Video,11,0.13
SOC000843,CUST0843,Instagram,60,129,41,Memes,High,Yes,7.9,Short Video,31,0.30
SOC000844,CUST0844,Facebook,11,18,3,Player Interviews,Low,No,2.2,Image Post,4,0.04
SOC000845,CUST0845,Instagram,55,121,37,Short Reels,High,Yes,7.3,Short Video,28,0.29
SOC000846,CUST0846,Twitter,18,29,7,Match Analysis,Medium,Yes,3.5,Carousel Post,7,0.09
SOC000847,CUST0847,Instagram,44,93,28,Memes,High,Yes,6.0,Short Video,20,0.24
SOC000848,CUST0848,YouTube,25,42,10,Tutorials,Medium,No,4.0,Long Video,10,0.11
SOC000849,CUST0849,Instagram,59,127,40,Short Reels,High,Yes,7.8,Short Video,30,0.30
SOC000850,CUST0850,Facebook,9,15,2,Player Interviews,Low,No,1.9,Image Post,3,0.03
SOC000851,CUST0851,Instagram,50,107,33,Memes,High,Yes,6.9,Short Video,24,0.27
SOC000852,CUST0852,YouTube,29,49,13,Match Analysis,High,Yes,4.7,Long Video,13,0.15
SOC000853,CUST0853,Instagram,62,135,43,Short Reels,High,Yes,8.2,Short Video,32,0.30
SOC000854,CUST0854,Twitter,15,24,5,Match Highlights,Low,No,3.0,Carousel Post,6,0.08
SOC000855,CUST0855,Instagram,53,115,35,Memes,High,Yes,7.1,Short Video,26,0.28
SOC000856,CUST0856,YouTube,31,54,14,Match Analysis,High,Yes,5.0,Long Video,14,0.15
SOC000857,CUST0857,Instagram,42,87,25,Short Reels,Medium,Yes,5.7,Short Video,19,0.22
SOC000858,CUST0858,Facebook,13,22,4,Player Interviews,Low,No,2.6,Image Post,5,0.05
SOC000859,CUST0859,Instagram,56,121,38,Memes,High,Yes,7.5,Short Video,28,0.29
SOC000860,CUST0860,Twitter,17,27,6,Match Highlights,Medium,No,3.4,Carousel Post,7,0.09
SOC000861,CUST0861,Instagram,47,98,30,Short Reels,High,Yes,6.4,Short Video,22,0.26
SOC000862,CUST0862,YouTube,26,44,11,Match Analysis,Medium,No,4.2,Long Video,10,0.12
SOC000863,CUST0863,Instagram,61,132,42,Memes,High,Yes,8.0,Short Video,31,0.30
SOC000864,CUST0864,Facebook,10,17,3,Player Interviews,Low,No,2.1,Image Post,4,0.04
SOC000865,CUST0865,Instagram,56,121,38,Short Reels,High,Yes,7.4,Short Video,28,0.29
SOC000866,CUST0866,Twitter,19,31,7,Match Highlights,Medium,No,3.6,Carousel Post,8,0.09
SOC000867,CUST0867,Instagram,43,90,27,Memes,High,Yes,5.9,Short Video,20,0.23
SOC000868,CUST0868,YouTube,24,39,9,Tutorials,Medium,No,3.9,Long Video,9,0.10
SOC000869,CUST0869,Instagram,58,126,40,Short Reels,High,Yes,7.7,Short Video,29,0.30
SOC000870,CUST0870,Facebook,8,14,2,Player Interviews,Low,No,1.8,Image Post,3,0.03
SOC000871,CUST0871,Instagram,49,104,32,Memes,High,Yes,6.8,Short Video,24,0.27
SOC000872,CUST0872,YouTube,28,48,12,Match Analysis,Medium,Yes,4.5,Long Video,12,0.14
SOC000873,CUST0873,Instagram,63,136,44,Short Reels,High,Yes,8.3,Short Video,33,0.30
SOC000874,CUST0874,Twitter,14,23,5,Match Highlights,Low,No,2.8,Carousel Post,5,0.07
SOC000875,CUST0875,Instagram,54,118,36,Memes,High,Yes,7.2,Short Video,27,0.29
SOC000876,CUST0876,YouTube,30,52,14,Match Analysis,High,Yes,4.9,Long Video,14,0.15
SOC000877,CUST0877,Instagram,41,85,24,Short Reels,Medium,Yes,5.5,Short Video,18,0.22
SOC000878,CUST0878,Facebook,12,20,4,Player Interviews,Low,No,2.4,Image Post,5,0.05
SOC000879,CUST0879,Instagram,57,124,39,Memes,High,Yes,7.6,Short Video,29,0.30
SOC000880,CUST0880,Twitter,16,26,6,Match Highlights,Medium,No,3.3,Carousel Post,6,0.08
SOC000881,CUST0881,Instagram,46,96,29,Short Reels,High,Yes,6.3,Short Video,21,0.25
SOC000882,CUST0882,YouTube,27,46,11,Tutorials,Medium,Yes,4.3,Long Video,11,0.13
SOC000883,CUST0883,Instagram,60,130,41,Memes,High,Yes,7.9,Short Video,31,0.30
SOC000884,CUST0884,Facebook,11,18,3,Player Interviews,Low,No,2.2,Image Post,4,0.04
SOC000885,CUST0885,Instagram,55,120,37,Short Reels,High,Yes,7.3,Short Video,27,0.29
SOC000886,CUST0886,Twitter,18,29,7,Match Analysis,Medium,Yes,3.5,Carousel Post,7,0.09
SOC000887,CUST0887,Instagram,44,92,28,Memes,High,Yes,6.0,Short Video,20,0.24
SOC000888,CUST0888,YouTube,25,41,10,Tutorials,Medium,No,4.0,Long Video,10,0.11
SOC000889,CUST0889,Instagram,59,128,40,Short Reels,High,Yes,7.8,Short Video,30,0.30
SOC000890,CUST0890,Facebook,9,15,2,Player Interviews,Low,No,1.9,Image Post,3,0.03
SOC000891,CUST0891,Instagram,50,106,33,Memes,High,Yes,6.9,Short Video,24,0.27
SOC000892,CUST0892,YouTube,29,50,13,Match Analysis,High,Yes,4.7,Long Video,13,0.15
SOC000893,CUST0893,Instagram,62,134,43,Short Reels,High,Yes,8.2,Short Video,32,0.30
SOC000894,CUST0894,Twitter,15,24,5,Match Highlights,Low,No,3.0,Carousel Post,6,0.08
SOC000895,CUST0895,Instagram,53,116,35,Memes,High,Yes,7.1,Short Video,26,0.28
SOC000896,CUST0896,YouTube,31,53,14,Match Analysis,High,Yes,5.0,Long Video,14,0.15
SOC000897,CUST0897,Instagram,42,88,25,Short Reels,Medium,Yes,5.7,Short Video,19,0.22
SOC000898,CUST0898,Facebook,13,22,4,Player Interviews,Low,No,2.6,Image Post,5,0.05
SOC000899,CUST0899,Instagram,56,122,38,Memes,High,Yes,7.5,Short Video,28,0.29
SOC000900,CUST0900,Twitter,17,28,6,Match Highlights,Medium,No,3.4,Carousel Post,7,0.09
SOC000901,CUST0901,Instagram,48,102,31,Short Reels,High,Yes,6.6,Short Video,23,0.26
SOC000902,CUST0902,YouTube,27,46,11,Match Analysis,Medium,No,4.3,Long Video,10,0.12
SOC000903,CUST0903,Instagram,62,135,43,Memes,High,Yes,8.1,Short Video,32,0.30
SOC000904,CUST0904,Facebook,11,18,3,Player Interviews,Low,No,2.2,Image Post,4,0.04
SOC000905,CUST0905,Instagram,57,124,39,Short Reels,High,Yes,7.5,Short Video,29,0.29
SOC000906,CUST0906,Twitter,20,32,8,Match Highlights,Medium,No,3.7,Carousel Post,8,0.10
SOC000907,CUST0907,Instagram,44,94,28,Memes,High,Yes,6.0,Short Video,21,0.24
SOC000908,CUST0908,YouTube,25,40,9,Tutorials,Medium,No,4.0,Long Video,9,0.10
SOC000909,CUST0909,Instagram,59,129,41,Short Reels,High,Yes,7.8,Short Video,30,0.30
SOC000910,CUST0910,Facebook,9,15,2,Player Interviews,Low,No,1.9,Image Post,3,0.03
SOC000911,CUST0911,Instagram,50,108,33,Memes,High,Yes,6.9,Short Video,24,0.27
SOC000912,CUST0912,YouTube,29,51,13,Match Analysis,High,Yes,4.8,Long Video,13,0.15
SOC000913,CUST0913,Instagram,63,139,44,Short Reels,High,Yes,8.3,Short Video,33,0.30
SOC000914,CUST0914,Twitter,15,24,5,Match Highlights,Low,No,3.0,Carousel Post,6,0.08
SOC000915,CUST0915,Instagram,54,118,36,Memes,High,Yes,7.2,Short Video,27,0.29
SOC000916,CUST0916,YouTube,31,55,14,Match Analysis,High,Yes,5.0,Long Video,14,0.15
SOC000917,CUST0917,Instagram,42,89,25,Short Reels,Medium,Yes,5.7,Short Video,19,0.22
SOC000918,CUST0918,Facebook,13,21,4,Player Interviews,Low,No,2.5,Image Post,5,0.05
SOC000919,CUST0919,Instagram,58,126,40,Memes,High,Yes,7.7,Short Video,30,0.30
SOC000920,CUST0920,Twitter,17,27,6,Match Highlights,Medium,No,3.4,Carousel Post,7,0.09
SOC000921,CUST0921,Instagram,47,101,30,Short Reels,High,Yes,6.4,Short Video,22,0.26
SOC000922,CUST0922,YouTube,26,44,11,Tutorials,Medium,Yes,4.2,Long Video,10,0.12
SOC000923,CUST0923,Instagram,61,133,42,Memes,High,Yes,8.0,Short Video,31,0.30
SOC000924,CUST0924,Facebook,10,17,3,Player Interviews,Low,No,2.1,Image Post,4,0.04
SOC000925,CUST0925,Instagram,56,122,38,Short Reels,High,Yes,7.4,Short Video,28,0.29
SOC000926,CUST0926,Twitter,19,31,7,Match Analysis,Medium,Yes,3.6,Carousel Post,8,0.10
SOC000927,CUST0927,Instagram,43,92,27,Memes,High,Yes,5.9,Short Video,20,0.23
SOC000928,CUST0928,YouTube,24,39,9,Tutorials,Medium,No,3.9,Long Video,9,0.10
SOC000929,CUST0929,Instagram,58,128,40,Short Reels,High,Yes,7.7,Short Video,30,0.30
SOC000930,CUST0930,Facebook,8,14,2,Player Interviews,Low,No,1.8,Image Post,3,0.03
SOC000931,CUST0931,Instagram,49,106,32,Memes,High,Yes,6.8,Short Video,24,0.27
SOC000932,CUST0932,YouTube,28,50,12,Match Analysis,Medium,Yes,4.5,Long Video,12,0.14
SOC000933,CUST0933,Instagram,63,138,44,Short Reels,High,Yes,8.3,Short Video,33,0.30
SOC000934,CUST0934,Twitter,14,23,5,Match Highlights,Low,No,2.8,Carousel Post,5,0.07
SOC000935,CUST0935,Instagram,54,119,36,Memes,High,Yes,7.2,Short Video,27,0.29
SOC000936,CUST0936,YouTube,30,53,14,Match Analysis,High,Yes,4.9,Long Video,14,0.15
